,path id,covered nerve,uncovered nerve,covered nerve (subclasses),complete (subclasses)
17,ilxtr:neuron-type-sstom-8,[],['UBERON:0001759'],[],False
18,ilxtr:neuron-type-sstom-9,[],['UBERON:0001759'],[],False
19,ilxtr:sparc-nlp/femrep/64,[],"['ILX:0794476', 'UBERON:0001759']",[],False
20,ilxtr:sparc-nlp/kidney/135,[],"['ILX:0794853', 'UBERON:0001759']",[],False
21,ilxtr:sparc-nlp/kidney/142,[],['UBERON:0001759'],[],False
22,ilxtr:sparc-nlp/kidney/145,[],"['ILX:0794476', 'UBERON:0001759']",[],False
23,ilxtr:sparc-nlp/kidney/155,[],"['ILX:0794476', 'UBERON:0001759']",[],False
24,ilxtr:sparc-nlp/liver/114,[],"['ILX:0793826', 'UBERON:0001759']",[],False
25,ilxtr:sparc-nlp/liver/115,[],"['ILX:0793827', 'UBERON:0001759']",[],False
26,ilxtr:sparc-nlp/liver/127,[],"['ILX:0793826', 'UBERON:0001759']",[],False
27,ilxtr:sparc-nlp/mmset1/14,[],['UBERON:0001759'],[],False
28,ilxtr:sparc-nlp/mmset4/4a,[],['UBERON:0001759'],[],False
29,ilxtr:sparc-nlp/mmset4/4b,[],['UBERON:0001759'],[],False
30,ilxtr:sparc-nlp/mmset4/4c,[],['UBERON:0001759'],[],False
31,ilxtr:sparc-nlp/mmset4/6,[],['UBERON:0001759'],[],False
32,ilxtr:neuron-type-aacar-12,[],['ILX:0738312'],[],False
33,ilxtr:neuron-type-aacar-5,[],"['ILX:0793208', 'ILX:0793209', 'ILX:0793210', 'ILX:0793212', 'ILX:0793211']",[],False
