,nerve id,label,covered,subclasses,subclass labels
10,ILX:0791105,gray communicating ramus of the second thoracic nerve,False,"['FMA:6122', 'FMA:6757']","[['gray ramus communicans of right second intercostal nerve', 'gray communicating ramus of right second intercostal nerve', 'gray communicating ramus of right second thoracic anterior ramus'], ['gray ramus communicans of left second intercostal nerve', 'gray communicating ramus of left second intercostal nerve', 'gray communicating ramus of left second thoracic anterior ramus']]"
11,ILX:0787082,gray communicating ramus of the first thoracic nerve,False,"['FMA:6082', 'FMA:6084']","[['gray ramus communicans of right first intercostal nerve', 'gray communicating ramus of right first intercostal nerve', 'gray communicating ramus of right first thoracic anterior ramus'], ['gray communicating ramus of left first intercostal nerve', 'gray communicating ramus of left first thoracic anterior ramus', 'gray ramus communicans of left first intercostal nerve']]"
12,ILX:0788945,gray communicating ramus of the fourth thoracic nerve,False,"['FMA:6758', 'FMA:6759']","[['gray communicating ramus of left fourth intercostal nerve', 'gray communicating ramus of left fourth thoracic anterior ramus', 'gray ramus communicans of left fourth intercostal nerve'], ['gray ramus communicans of right fourth intercostal nerve', 'gray communicating ramus of right fourth thoracic anterior ramus', 'gray communicating ramus of right fourth intercostal nerve']]"
13,ILX:0789339,pharyngeal branch of glossopharyngeal nerve,False,"['FMA:53494', 'FMA:53495']","[['pharyngeal branch of right glossopharyngeal nerve'], ['pharyngeal branch of left glossopharyngeal nerve']]"
14,UBERON:0001649,glossopharyngeal nerve,False,"['FMA:50892', 'FMA:50894']","[['right glossopharyngeal nerve tree', 'right glossopharyngeal nerve'], ['left glossopharyngeal nerve', 'left glossopharyngeal nerve tree']]"
15,UBERON:0009009,carotid sinus nerve,False,"['FMA:53508', 'FMA:53509']","[['right carotid sinus nerve', 'carotid branch of right glossopharyngeal nerve'], ['left carotid sinus nerve', 'carotid branch of left glossopharyngeal nerve']]"
16,ILX:0738293,ganglioglomerular nerve,False,[],[]
17,UBERON:0011326,superior laryngeal nerve,False,"['FMA:53530', 'FMA:53536']","[['right superior laryngeal nerve'], ['left superior laryngeal nerve']]"
18,ILX:0793560,external branch of superior laryngeal nerve,False,"['FMA:53537', 'FMA:53538']","[['right external laryngeal nerve'], ['left external laryngeal nerve']]"
19,ILX:0793561,internal branch of superior laryngeal nerve,False,"['FMA:53539', 'FMA:53540']","[['right internal laryngeal nerve', 'internal branch of right superior laryngeal nerve'], ['left internal laryngeal nerve', 'internal branch of left superior laryngeal nerve']]"
20,ILX:0738372,white communicating ramus of first thoracic spinal nerve,False,"['FMA:6083', 'FMA:6085']","[['white communicating ramus of right first intercostal nerve', 'white communicating ramus of right first thoracic anterior ramus', 'white ramus communicans of right first intercostal nerve'], ['white communicating ramus of left first thoracic anterior ramus', 'white ramus communicans of left first intercostal nerve', 'white communicating ramus of left first intercostal nerve']]"
21,ILX:0738308,external branch of inferior laryngeal nerve,False,[],[]
22,ILX:0738309,internal branch of inferior laryngeal nerve,False,[],[]
23,UBERON:0001650,hypoglossal nerve,False,[],[]
24,UBERON:0001884,phrenic nerve,False,"['FMA:6192', 'FMA:6193']","[['right phrenic nerve'], ['left phrenic nerve']]"
25,ILX:0793216,white communicating ramus of tenth thoracic spinal nerve,False,"['FMA:6776', 'FMA:6777']","[['white communicating ramus of right tenth thoracic anterior ramus', 'white communicating ramus of right tenth intercostal nerve', 'white ramus communicans of right tenth intercostal nerve'], ['white communicating ramus of left tenth thoracic anterior ramus', 'white ramus communicans of left tenth intercostal nerve', 'white communicating ramus of left tenth intercostal nerve']]"
26,ILX:0793219,white communicating ramus of thirteenth thoracic spinal nerve,False,[],[]
27,ILX:0793214,white communicating ramus of eighth thoracic spinal nerve,False,"['FMA:6772', 'FMA:6773']","[['white ramus communicans of right eighth intercostal nerve', 'white communicating ramus of right eighth thoracic anterior ramus', 'white communicating ramus of right eighth intercostal nerve'], ['white communicating ramus of left eighth intercostal nerve', 'white ramus communicans of left eighth intercostal nerve', 'white communicating ramus of left eighth thoracic anterior ramus']]"
28,ILX:0793218,white communicating ramus of twelfth thoracic spinal nerve,False,"['FMA:11781', 'FMA:11789']","[['white communicating ramus of right subcostal nerve', 'white ramus communicans of right subcostal nerve'], ['white ramus communicans of left subcostal nerve', 'white communicating ramus of left subcostal nerve']]"
29,ILX:0793220,white communicating ramus of first lumbar spinal nerve,False,"['FMA:16884', 'FMA:16885']","[['white communicating ramus of right first lumbar nerve', 'white ramus communicans of right first lumbar spinal nerve'], ['white ramus communicans of left first lumbar spinal nerve', 'white communicating ramus of left first lumbar nerve']]"
30,ILX:0793215,white communicating ramus of ninth thoracic spinal nerve,False,"['FMA:6774', 'FMA:6775']","[['white communicating ramus of right ninth thoracic anterior ramus', 'white communicating ramus of right ninth intercostal nerve', 'white ramus communicans of right ninth intercostal nerve'], ['white ramus communicans of left ninth intercostal nerve', 'white communicating ramus of left ninth thoracic anterior ramus', 'white communicating ramus of left ninth intercostal nerve']]"
31,ILX:0785825,gray communicating ramus of first lumbar nerve,False,"['FMA:65923', 'FMA:65924']","[['gray communicating ramus of right first lumbar nerve'], ['gray communicating ramus of left first lumbar nerve']]"
32,ILX:0793217,white communicating ramus of eleventh thoracic spinal nerve,False,"['FMA:6778', 'FMA:6779']","[['white communicating ramus of right eleventh thoracic anterior ramus', 'white communicating ramus of right eleventh intercostal nerve', 'white ramus communicans of right eleventh intercostal nerve'], ['white communicating ramus of left eleventh thoracic anterior ramus', 'white communicating ramus of left eleventh intercostal nerve', 'white ramus communicans of left eleventh intercostal nerve']]"
33,ILX:0793213,white communicating ramus of seventh thoracic spinal nerve,False,"['FMA:6770', 'FMA:6771']","[['white communicating ramus of right seventh thoracic anterior ramus', 'white communicating ramus of right seventh intercostal nerve', 'white ramus communicans of right seventh intercostal nerve'], ['white communicating ramus of left seventh thoracic anterior ramus', 'white communicating ramus of left seventh intercostal nerve', 'white ramus communicans of left seventh intercostal nerve']]"
34,ILX:0793559,bladder nerve,False,[],[]
35,UBERON:0018675,pelvic splanchnic nerve,False,[],[]
