Term ID,Group name,available
FMA:6927,Left second lumbar splanchnic nerve,
FMA:6737,Left seventh intercostal nerve,"['FMA:6737', 'ILX:0791263']"
FMA:6733,Left sixth intercostal nerve,"['FMA:6733', 'ILX:0791617']"
FMA:65286,Left subclavian nerve,
FMA:65569,Left subcostal nerve,"['FMA:65569', 'ILX:0789453']"
FMA:292889,Left superficial branch of radial nerve,
FMA:45364,Left superficial fibular nerve,
FMA:53546,Left superior cervical cardiac nerve,
FMA:52995,Left superior labial branch of infraorbital nerve,
FMA:53536,Left superior laryngeal nerve,"['FMA:53536', 'ILX:0788780']"
FMA:81295,Left superior lateral cutaneous nerve of arm,
FMA:65416,,['ILX:0794902']
FMA:52657,Left supraorbital nerve,
FMA:52644,Left supratrochlear nerve,
FMA:45425,Left sural nerve,
FMA:6260,,"['FMA:6260', 'ILX:0792282']"
FMA:6743,Left tenth intercostal nerve,"['FMA:6743', 'ILX:0787917']"
FMA:52627,Left tentorial nerve,
FMA:6119,Left third intercostal nerve,"['FMA:6119', 'ILX:0790356']"
FMA:6929,Left third lumbar splanchnic nerve,
FMA:6852,Left third occipital nerve,"['FMA:6852', 'ILX:0786826']"
FMA:22110,Left tibial nerve,"['FMA:22110', 'ILX:0791992']"
FMA:55173,Left transverse cervical nerve,['ILX:0794899']
FMA:50885,Left trigeminal nerve,"['FMA:50885', 'ILX:0792811']"
FMA:53482,Left tympanic nerve,"['FMA:53482', 'ILX:0790207']"
FMA:37321,Left ulnar nerve,
FMA:53409,Left vestibular nerve,"['FMA:53409', 'ILX:0792150']"
FMA:52969,Left zygomatic nerve,
FMA:52977,Left zygomaticofacial nerve,
FMA:52975,Left zygomaticotemporal nerve,
FMA:53634,Lingual branch of left vagus nerve,"['FMA:53634', 'ILX:0791548']"
FMA:53633,Lingual branch of right vagus nerve,"['FMA:53633', 'ILX:0787083']"
FMA:53367,Marginal mandibular branch of left facial nerve,"['FMA:53367', 'ILX:0789222']"
FMA:53366,Marginal mandibular branch of right facial nerve,"['FMA:53366', 'ILX:0790890']"
FMA:45433,Medial calcaneal branch A of left tibial nerve,
FMA:45432,Medial calcaneal branch A of right tibial nerve,
FMA:305339,Medial root of left median nerve,
FMA:305337,Medial root of right median nerve,
FMA:53542,Meningeal branch of left vagus nerve,
FMA:53541,Meningeal branch of right vagus nerve,
FMA:53609,Oesophageal branch of left recurrent laryngeal nerve,"['FMA:53609', 'ILX:0791513']"
FMA:53608,Oesophageal branch of right recurrent laryngeal nerve,"['FMA:53608', 'ILX:0785794']"
FMA:52777,Orbital branch of left maxillary nerve to left ethmoidal sinus,
FMA:52779,Orbital branch of left maxillary nerve to left sphenoidal sinus,
FMA:52776,Orbital branch of right maxillary nerve to right ethmoidal sinus,
FMA:52778,Orbital branch of right maxillary nerve to right sphenoidal sinus,
FMA:65328,Palmar branch of left median nerve,
FMA:65327,Palmar branch of right median nerve,
FMA:65350,Palmar cutaneous branch of left ulnar nerve,
FMA:65349,Palmar cutaneous branch of right ulnar nerve,
FMA:291238,Pericardial branch of left phrenic nerve,
FMA:291236,Pericardial branch of right phrenic nerve,
FMA:53495,Pharyngeal branch of left glossopharyngeal nerve,"['FMA:53495', 'ILX:0793073']"
FMA:53636,Pharyngeal branch of left vagus nerve to pharyngeal nerve plexus,
FMA:53494,Pharyngeal branch of right glossopharyngeal nerve,"['FMA:53494', 'ILX:0792461']"
FMA:53635,Pharyngeal branch of right vagus nerve to pharyngeal nerve plexus,
FMA:8890,Posterior branch of lateral cutaneous branch of left eighth intercostal nerve,
FMA:7308,Posterior branch of lateral cutaneous branch of left eleventh intercostal nerve,
FMA:7297,Posterior branch of lateral cutaneous branch of left fifth intercostal nerve,
FMA:7130,Posterior branch of lateral cutaneous branch of left fourth intercostal nerve,
FMA:8901,Posterior branch of lateral cutaneous branch of left ninth intercostal nerve,
FMA:8879,Posterior branch of lateral cutaneous branch of left seventh intercostal nerve,
FMA:8868,Posterior branch of lateral cutaneous branch of left sixth intercostal nerve,
FMA:11555,Posterior branch of lateral cutaneous branch of left subcostal nerve,
FMA:8912,Posterior branch of lateral cutaneous branch of left tenth intercostal nerve,
FMA:7119,Posterior branch of lateral cutaneous branch of left third intercostal nerve,
FMA:8889,Posterior branch of lateral cutaneous branch of right eighth intercostal nerve,
FMA:7307,Posterior branch of lateral cutaneous branch of right eleventh intercostal nerve,
FMA:7296,Posterior branch of lateral cutaneous branch of right fifth intercostal nerve,
FMA:7129,Posterior branch of lateral cutaneous branch of right fourth intercostal nerve,
FMA:8900,Posterior branch of lateral cutaneous branch of right ninth intercostal nerve,
FMA:8878,Posterior branch of lateral cutaneous branch of right seventh intercostal nerve,
FMA:8867,Posterior branch of lateral cutaneous branch of right sixth intercostal nerve,
FMA:11554,Posterior branch of lateral cutaneous branch of right subcostal nerve,
FMA:8911,Posterior branch of lateral cutaneous branch of right tenth intercostal nerve,
FMA:7118,Posterior branch of lateral cutaneous branch of right third intercostal nerve,
FMA:65316,Posterior branch of left medial cutaneous nerve of forearm,
FMA:45311,Posterior branch of left obturator nerve,
FMA:65315,Posterior branch of right medial cutaneous nerve of forearm,
FMA:45310,Posterior branch of right obturator nerve,
FMA:6677,Pyloric branch of greater posterior gastric nerve,
FMA:55147,Right C1 spinal nerve branch to right ansa cervicalis,
FMA:55149,Right C2 spinal nerve branch to right ansa cervicalis,
FMA:65398,Right C2 spinal nerve branch to right great auricular nerve,
FMA:6821,Right C2 spinal nerve posterior ramus,"['FMA:6821', 'ILX:0786093']"
FMA:65444,Right C2 spinal nerve posterior ramus medial branch,"['FMA:65444', 'ILX:0790361']"
FMA:65401,Right C3 spinal nerve branch to right great auricular nerve,
FMA:65437,Right C3 spinal nerve branch to right supraclavicular nerve,
FMA:6842,Right C3 spinal nerve posterior ramus,"['FMA:6842', 'ILX:0787174']"
FMA:6844,Right C3 spinal nerve posterior ramus medial branch,"['FMA:6844', 'ILX:0785584']"
FMA:8790,Right C4 spinal nerve posterior ramus,"['FMA:8790', 'ILX:0788082']"
FMA:65739,Right C4 spinal nerve posterior ramus medial branch,"['FMA:65739', 'ILX:0788319']"
FMA:8794,Right C5 spinal nerve posterior ramus,"['FMA:8794', 'ILX:0784857']"
FMA:65743,Right C5 spinal nerve posterior ramus medial branch,"['FMA:65743', 'ILX:0784496']"
FMA:8797,Right C6 spinal nerve posterior ramus,"['FMA:8797', 'ILX:0789777']"
FMA:65747,Right C6 spinal nerve posterior ramus medial branch,"['FMA:65747', 'ILX:0791228']"
FMA:65923,Right L1 grey ramus communicans,
FMA:6410,Right L1 spinal nerve,"['FMA:6410', 'ILX:0790855']"
FMA:65937,Right L1 spinal nerve branch to right genitofemoral nerve,
FMA:7077,Right L1 spinal nerve posterior ramus,"['FMA:7077', 'ILX:0792634']"
FMA:16400,Right L1 spinal nerve posterior ramus lateral branch,"['FMA:16400', 'ILX:0791337']"
FMA:16884,Right L1 white ramus communicans,"['FMA:16884', 'ILX:0791910']"
FMA:65921,Right L2 grey ramus communicans,
FMA:6412,Right L2 spinal nerve,"['FMA:6412', 'ILX:0787929']"
FMA:65941,Right L2 spinal nerve branch to right genitofemoral nerve,
FMA:65948,Right L2 spinal nerve branch to right obturator nerve,
FMA:8832,Right L2 spinal nerve posterior ramus,"['FMA:8832', 'ILX:0791645']"
FMA:16402,Right L2 spinal nerve posterior ramus lateral branch,"['FMA:16402', 'ILX:0788137']"
FMA:16886,Right L2 white ramus communicans,"['FMA:16886', 'ILX:0790534']"
FMA:65919,Right L3 grey ramus communicans,
FMA:6417,Right L3 spinal nerve,"['FMA:6417', 'ILX:0791242']"
FMA:8835,Right L3 spinal nerve posterior ramus,"['FMA:8835', 'ILX:0786521']"
FMA:16404,Right L3 spinal nerve posterior ramus lateral branch,"['FMA:16404', 'ILX:0786789']"
FMA:65917,Right L4 grey ramus communicans,
FMA:6419,Right L4 spinal nerve,"['FMA:6419', 'ILX:0789630']"
FMA:65915,Right L5 grey ramus communicans,
FMA:6421,Right L5 spinal nerve,"['FMA:6421', 'ILX:0788087']"
FMA:65991,Right S1 grey ramus communicans,
FMA:6428,Right S1 spinal nerve,"['FMA:6428', 'ILX:0784617']"
FMA:65993,Right S2 grey ramus communicans,
FMA:6430,Right S2 spinal nerve,"['FMA:6430', 'ILX:0790323']"
FMA:66035,Right S2 spinal nerve branch to right pudendal nerve,
FMA:65995,Right S3 grey ramus communicans,
FMA:6432,Right S3 spinal nerve,"['FMA:6432', 'ILX:0787077']"
FMA:66038,Right S3 spinal nerve branch to right pudendal nerve,
FMA:65997,Right S4 grey ramus communicans,
FMA:6434,Right S4 spinal nerve,"['FMA:6434', 'ILX:0786250']"
FMA:66045,Right S4 spinal nerve branch to right pudendal nerve,
FMA:65999,Right S5 grey ramus communicans,
FMA:6436,Right S5 spinal nerve,"['FMA:6436', 'ILX:0787717']"
FMA:6082,Right T1 grey ramus communicans,"['FMA:6082', 'ILX:0791865']"
FMA:6038,Right T1 spinal nerve,"['FMA:6038', 'ILX:0788282']"
FMA:6070,Right T1 spinal nerve posterior ramus,"['FMA:6070', 'ILX:0787179']"
FMA:11249,Right T1 spinal nerve posterior ramus medial branch,"['FMA:11249', 'ILX:0788601']"
FMA:6083,Right T1 white ramus communicans,"['FMA:6083', 'ILX:0789706']"
FMA:6894,Right T10 grey ramus communicans,"['FMA:6894', 'ILX:0791007']"
FMA:6310,Right T10 spinal nerve,"['FMA:6310', 'ILX:0787515']"
FMA:8823,Right T10 spinal nerve posterior ramus,"['FMA:8823', 'ILX:0792349']"
FMA:11755,Right T10 spinal nerve posterior ramus lateral branch,"['FMA:11755', 'ILX:0788019']"
FMA:6776,Right T10 white ramus communicans,"['FMA:6776', 'ILX:0784598']"
FMA:6896,Right T11 grey ramus communicans,"['FMA:6896', 'ILX:0784673']"
FMA:6313,Right T11 spinal nerve,"['FMA:6313', 'ILX:0791664']"
FMA:8826,Right T11 spinal nerve posterior ramus,"['FMA:8826', 'ILX:0793013']"
FMA:11757,Right T11 spinal nerve posterior ramus lateral branch,"['FMA:11757', 'ILX:0788168']"
FMA:6778,Right T11 white ramus communicans,"['FMA:6778', 'ILX:0790247']"
FMA:11780,Right T12 grey ramus communicans,
FMA:6182,Right T12 spinal nerve,"['FMA:6182', 'ILX:0790330']"
FMA:8829,Right T12 spinal nerve posterior ramus,"['FMA:8829', 'ILX:0791997']"
FMA:11759,Right T12 spinal nerve posterior ramus lateral branch,"['FMA:11759', 'ILX:0788051']"
FMA:11781,Right T12 white ramus communicans,
FMA:6122,Right T2 grey ramus communicans,"['FMA:6122', 'ILX:0792452']"
FMA:6088,Right T2 spinal nerve,"['FMA:6088', 'ILX:0786267']"
FMA:6091,Right T2 spinal nerve posterior ramus,"['FMA:6091', 'ILX:0786344']"
FMA:11252,Right T2 spinal nerve posterior ramus medial branch,"['FMA:11252', 'ILX:0791529']"
FMA:6781,Right T2 white ramus communicans,"['FMA:6781', 'ILX:0784453']"
FMA:6124,Right T3 grey ramus communicans,"['FMA:6124', 'ILX:0788842']"
FMA:6116,Right T3 spinal nerve,"['FMA:6116', 'ILX:0787393']"
FMA:8805,Right T3 spinal nerve posterior ramus,"['FMA:8805', 'ILX:0785359']"
FMA:11018,Right T3 spinal nerve posterior ramus medial branch,"['FMA:11018', 'ILX:0791747']"
FMA:6134,Right T3 white ramus communicans,"['FMA:6134', 'ILX:0786631']"
FMA:6759,Right T4 grey ramus communicans,"['FMA:6759', 'ILX:0785311']"
FMA:6291,Right T4 spinal nerve,"['FMA:6291', 'ILX:0785052']"
FMA:6784,Right T4 spinal nerve posterior ramus,"['FMA:6784', 'ILX:0789918']"
FMA:11063,Right T4 spinal nerve posterior ramus medial branch,"['FMA:11063', 'ILX:0790881']"
FMA:6764,Right T4 white ramus communicans,"['FMA:6764', 'ILX:0784621']"
FMA:6761,Right T5 grey ramus communicans,"['FMA:6761', 'ILX:0787369']"
FMA:6294,Right T5 spinal nerve,"['FMA:6294', 'ILX:0784405']"
FMA:8807,Right T5 spinal nerve posterior ramus,"['FMA:8807', 'ILX:0787767']"
FMA:11153,Right T5 spinal nerve posterior ramus medial branch,"['FMA:11153', 'ILX:0792309']"
FMA:6766,Right T5 white ramus communicans,"['FMA:6766', 'ILX:0791498']"
FMA:6762,Right T6 grey ramus communicans,"['FMA:6762', 'ILX:0792099']"
FMA:6297,Right T6 spinal nerve,"['FMA:6297', 'ILX:0792459']"
FMA:8811,Right T6 spinal nerve posterior ramus,"['FMA:8811', 'ILX:0785887']"
FMA:11261,Right T6 spinal nerve posterior ramus medial branch,"['FMA:11261', 'ILX:0790554']"
FMA:6768,Right T6 white ramus communicans,"['FMA:6768', 'ILX:0792201']"
FMA:6888,Right T7 grey ramus communicans,"['FMA:6888', 'ILX:0792878']"
FMA:6300,Right T7 spinal nerve,"['FMA:6300', 'ILX:0791174']"
FMA:8814,Right T7 spinal nerve posterior ramus,"['FMA:8814', 'ILX:0785737']"
FMA:11681,Right T7 spinal nerve posterior ramus lateral branch,"['FMA:11681', 'ILX:0787184']"
FMA:6770,Right T7 white ramus communicans,"['FMA:6770', 'ILX:0786071']"
FMA:6890,Right T8 grey ramus communicans,"['FMA:6890', 'ILX:0785921']"
FMA:6303,Right T8 spinal nerve,"['FMA:6303', 'ILX:0786564']"
FMA:8817,Right T8 spinal nerve posterior ramus,"['FMA:8817', 'ILX:0788685']"
FMA:11751,Right T8 spinal nerve posterior ramus lateral branch,"['FMA:11751', 'ILX:0787068']"
FMA:6772,Right T8 white ramus communicans,"['FMA:6772', 'ILX:0792831']"
FMA:6892,Right T9 grey ramus communicans,"['FMA:6892', 'ILX:0787012']"
FMA:6307,Right T9 spinal nerve,"['FMA:6307', 'ILX:0789063']"
FMA:8820,Right T9 spinal nerve posterior ramus,"['FMA:8820', 'ILX:0792136']"
FMA:11753,Right T9 spinal nerve posterior ramus lateral branch,"['FMA:11753', 'ILX:0787447']"
FMA:6774,Right T9 white ramus communicans,"['FMA:6774', 'ILX:0786061']"
FMA:50897,Right accessory nerve,"['FMA:50897', 'ILX:0785210']"
FMA:6217,Right accessory phrenic nerve,
FMA:55143,,['ILX:0794577']
FMA:53062,Right anterior division of mandibular nerve,
FMA:52676,Right anterior ethmoidal nerve,
FMA:45253,Right anterior femoral cutaneous branch A,
FMA:65325,Right anterior interosseous nerve,
FMA:52941,Right anterior superior alveolar nerve,
FMA:78649,Right anterior supraclavicular nerve,
FMA:53001,Right auriculotemporal nerve,
FMA:37073,Right axillary nerve,
FMA:81287,Right axillary nerve anterior branch,
FMA:81289,Right axillary nerve posterior branch,
FMA:53067,Right buccal nerve,
FMA:0328830,Right caroticotympanic nerve,
FMA:53508,Right carotid sinus nerve,"['FMA:53508', 'ILX:0786650']"
FMA:6438,Right coccygeal spinal nerve,"['FMA:6438', 'ILX:0784847']"
FMA:53432,Right cochlear nerve,"['FMA:53432', 'ILX:0790324']"
FMA:45357,Right common fibular nerve,"['FMA:45357', 'ILX:0791510']"
FMA:44892,Right common palmar digital nerve A,
FMA:44734,Right common plantar digital nerve E,
FMA:44769,Right common plantar digital nerve F,
FMA:52673,Right communicating branch of nasociliary nerve with ciliary ganglion,
FMA:45387,Right deep fibular nerve,
FMA:0328826,Right deep petrosal nerve,
FMA:21879,Right dorsal nerve of penis,
FMA:6738,Right eighth intercostal nerve,"['FMA:6738', 'ILX:0791272']"
FMA:6744,Right eleventh intercostal nerve,"['FMA:6744', 'ILX:0788489']"
FMA:53537,Right external laryngeal nerve,
FMA:53567,Right external laryngeal nerve branch to inferior pharyngeal constrictor,"['FMA:53567', 'ILX:0790936']"
FMA:53569,Right external laryngeal nerve branch to pharyngeal plexus,"['FMA:53569', 'ILX:0787745']"
FMA:50888,Right facial nerve,"['FMA:50888', 'ILX:0791475']"
FMA:20634,Right femoral branch of genitofemoral nerve,
FMA:16499,Right femoral nerve,
FMA:6730,Right fifth intercostal nerve,"['FMA:6730', 'ILX:0787824']"
FMA:6073,Right first intercostal nerve,"['FMA:6073', 'ILX:0790464']"
FMA:6924,Right first lumbar splanchnic nerve,
FMA:6728,Right fourth intercostal nerve,"['FMA:6728', 'ILX:0791393']"
FMA:6930,Right fourth lumbar splanchnic nerve,
FMA:52639,Right frontal nerve,
FMA:20632,Right genital branch of genitofemoral nerve,
FMA:20630,Right genitofemoral nerve,
FMA:50892,,"['FMA:50892', 'ILX:0791729']"
FMA:55155,,['ILX:0794583']
FMA:55157,Right great auricular nerve anterior branch,
FMA:55159,Right great auricular nerve posterior branch,
FMA:65444,Right greater occipital nerve,"['FMA:65444', 'ILX:0790361']"
FMA:52803,Right greater palatine nerve,
FMA:53423,Right greater petrosal nerve,"['FMA:53423', 'ILX:0788496']"
FMA:6956,Right greater splanchnic nerve,
FMA:20604,Right hypogastric nerve,
FMA:16491,Right iliohypogastric nerve,
FMA:16493,Right ilioinguinal nerve,
FMA:276379,Right incisive branch of inferior alveolar nerve,
FMA:53244,Right inferior alveolar nerve,
FMA:44952,Right inferior lateral cutaneous nerve of arm,
FMA:52987,Right inferior palpebral branch of infraorbital nerve,
FMA:21871,Right inferior rectal nerve,
FMA:52979,Right infraorbital nerve,
FMA:52698,Right infratrochlear nerve,
FMA:11308,Right intercostobrachial nerve,
FMA:45367,Right intermediate dorsal cutaneous nerve,
FMA:53539,Right internal laryngeal nerve,
FMA:52629,Right lacrimal nerve,
FMA:53547,Right laryngopharyngeal branch of superior cervical ganglion,
FMA:45428,Right lateral calcaneal branch A of right sural nerve,
FMA:39083,Right lateral cutaneous nerve of forearm,
FMA:45426,Right lateral dorsal cutaneous nerve,
FMA:45379,Right lateral dorsal digital nerve of the third toe,
FMA:16497,Right lateral femoral cutaneous nerve,
FMA:45450,Right lateral plantar nerve,
FMA:45361,Right lateral sural cutaneous nerve,
FMA:6959,Right least splanchnic nerve,
FMA:65388,Right lesser occipital nerve,"['FMA:65388', 'ILX:0788591']"
FMA:52806,Right lesser palatine nerve,
FMA:53502,Right lesser petrosal nerve,"['FMA:53502', 'ILX:0784458']"
FMA:6957,Right lesser splanchnic nerve,
FMA:53504,Right lingual branch of glossopharyngeal nerve,
FMA:53219,Right lingual nerve,
FMA:82734,Right long ciliary nerve A,
FMA:52700,Right long ciliary nerve B,
FMA:65281,Right long thoracic nerve,
FMA:65536,Right lumbosacral trunk,
FMA:52997,Right mandibular nerve,"['FMA:52997', 'ILX:0793008']"
FMA:52725,Right maxillary nerve,"['FMA:52725', 'ILX:0791027']"
FMA:65247,Right medial cutaneous nerve of arm,
FMA:39081,Right medial cutaneous nerve of forearm,
FMA:45365,Right medial dorsal cutaneous nerve,
FMA:45381,Right medial dorsal digital nerve of the fourth toe,
FMA:45434,Right medial plantar nerve,
FMA:52786,Right medial posterior superior nasal nerve,
FMA:45422,Right medial sural cutaneous nerve,
FMA:37067,Right median nerve,
FMA:53048,Right meningeal branch of mandibular nerve,
FMA:53251,Right mental nerve,
FMA:52729,Right middle meningeal nerve,
FMA:52939,Right middle superior alveolar nerve,
FMA:78652,Right middle supraclavicular nerve,
FMA:37065,Right musculocutaneous nerve,
FMA:52669,Right nasociliary nerve,
FMA:52798,Right nasopalatine nerve,
FMA:6740,Right ninth intercostal nerve,"['FMA:6740', 'ILX:0788417']"
FMA:16501,Right obturator nerve,
FMA:50879,Right oculomotor nerve,"['FMA:50879', 'ILX:0786853']"
FMA:52592,Right olfactory nerve,
FMA:52622,Right ophthalmic nerve,"['FMA:52622', 'ILX:0789469']"
FMA:50875,Right optic nerve,
FMA:21873,Right perineal nerve,
FMA:6192,Right phrenic nerve,
FMA:53279,Right posterior auricular nerve,"['FMA:53279', 'ILX:0793009']"
FMA:44950,Right posterior cutaneous nerve of arm,
FMA:39146,Right posterior cutaneous nerve of forearm,
FMA:53064,Right posterior division of mandibular nerve,
FMA:52715,Right posterior ethmoidal nerve,
FMA:45338,Right posterior femoral cutaneous nerve,
FMA:65335,Right posterior interosseous nerve,
FMA:21875,Right posterior scrotal nerve,
FMA:52936,Right posterior superior alveolar nerve,
FMA:52785,Right posterior superior lateral nasal branch of maxillary nerve,
FMA:78655,Right posterior supraclavicular nerve,
FMA:44898,Right proper palmar digital nerve A,
FMA:44904,Right proper palmar digital nerve B,
FMA:44901,Right proper palmar digital nerve C,
FMA:44870,Right proper palmar digital nerve D,
FMA:65347,Right proper palmar digital nerve E,
FMA:65345,Right proper palmar digital nerve F,
FMA:65343,Right proper palmar digital nerve G,
FMA:65341,Right proper palmar digital nerve H,
FMA:65339,Right proper palmar digital nerve I,
FMA:65337,Right proper palmar digital nerve J,
FMA:82952,Right proper plantar digital nerve A,
FMA:82954,Right proper plantar digital nerve B,
FMA:82956,Right proper plantar digital nerve C,
FMA:82958,Right proper plantar digital nerve D,
FMA:82960,Right proper plantar digital nerve E,
FMA:82962,Right proper plantar digital nerve F,
FMA:80025,Right proper plantar digital nerve G,
FMA:45452,Right proper plantar digital nerve H,
FMA:45454,Right proper plantar digital nerve I,
FMA:45456,Right proper plantar digital nerve J,
FMA:21863,Right pudendal nerve,"['FMA:21863', 'ILX:0784920']"
FMA:37070,Right radial nerve,
FMA:45263,Right saphenous nerve,
FMA:22111,Right sciatic nerve,"['FMA:22111', 'ILX:0785820']"
FMA:6092,Right second intercostal nerve,"['FMA:6092', 'ILX:0789993']"
FMA:6926,Right second lumbar splanchnic nerve,
FMA:6736,Right seventh intercostal nerve,"['FMA:6736', 'ILX:0790586']"
FMA:6732,Right sixth intercostal nerve,"['FMA:6732', 'ILX:0791724']"
FMA:65285,Right subclavian nerve,
FMA:65568,Right subcostal nerve,"['FMA:65568', 'ILX:0792128']"
FMA:292887,Right superficial branch of radial nerve,
FMA:45363,Right superficial fibular nerve,
FMA:53545,Right superior cervical cardiac nerve,
FMA:52994,Right superior labial branch of infraorbital nerve,
FMA:53530,Right superior laryngeal nerve,"['FMA:53530', 'ILX:0787738']"
FMA:81294,Right superior lateral cutaneous nerve of arm,
FMA:65415,,['ILX:0794901']
FMA:52656,Right supraorbital nerve,
FMA:52643,Right supratrochlear nerve,
FMA:45424,Right sural nerve,
FMA:6259,,"['FMA:6259', 'ILX:0786761']"
FMA:6742,Right tenth intercostal nerve,"['FMA:6742', 'ILX:0788578']"
FMA:52626,Right tentorial nerve,
FMA:6118,Right third intercostal nerve,"['FMA:6118', 'ILX:0786349']"
FMA:6928,Right third lumbar splanchnic nerve,
FMA:6845,Right third occipital nerve,"['FMA:6845', 'ILX:0792919']"
FMA:22109,Right tibial nerve,"['FMA:22109', 'ILX:0791005']"
FMA:55172,Right transverse cervical nerve,
FMA:50884,Right trigeminal nerve,"['FMA:50884', 'ILX:0792877']"
FMA:53481,Right tympanic nerve,"['FMA:53481', 'ILX:0786889']"
FMA:37320,Right ulnar nerve,
FMA:53402,Right vestibular nerve,"['FMA:53402', 'ILX:0788963']"
FMA:52968,Right zygomatic nerve,
FMA:52976,Right zygomaticofacial nerve,
FMA:52974,Right zygomaticotemporal nerve,
FMA:44932,Superficial branch of left ulnar nerve,
FMA:44894,Superficial branch of right ulnar nerve,
FMA:53599,Superior cervical cardiac branch of left vagus nerve,"['FMA:53599', 'ILX:0791998']"
FMA:53598,Superior cervical cardiac branch of right vagus nerve,"['FMA:53598', 'ILX:0786396']"
FMA:53576,,"['FMA:53576', 'ILX:0785786']"
FMA:53575,,"['FMA:53575', 'ILX:0784524']"
FMA:53302,Temporal branch of left facial nerve,"['FMA:53302', 'ILX:0784519']"
FMA:53301,Temporal branch of right facial nerve,"['FMA:53301', 'ILX:0788053']"
FMA:53605,Thoracic cardiac branch of left vagus nerve,"['FMA:53605', 'ILX:0791489']"
FMA:53604,Thoracic cardiac branch of right vagus nerve,"['FMA:53604', 'ILX:0790057']"
FMA:53507,Tonsillar branch of left glossopharyngeal nerve,"['FMA:53507', 'ILX:0785969']"
FMA:53506,Tonsillar branch of right glossopharyngeal nerve,"['FMA:53506', 'ILX:0790359']"
FMA:53611,Tracheal branch of left recurrent laryngeal nerve,"['FMA:53611', 'ILX:0785091']"
FMA:53610,Tracheal branch of right recurrent laryngeal nerve,"['FMA:53610', 'ILX:0792888']"
FMA:53607,Vagal branch to left carotid body,
FMA:53606,Vagal branch to right carotid body,
FMA:53309,Zygomatic branch of left facial nerve,"['FMA:53309', 'ILX:0792663']"
FMA:53308,Zygomatic branch of right facial nerve,"['FMA:53308', 'ILX:0789259']"
