Term ID,Group name,available
FMA:65361,Brachial plexus right superior trunk,
FMA:65850,Branch from left C5 root to long thoracic nerve,"['FMA:65850', 'ILX:0786464']"
FMA:65870,Branch from left C6 root to long thoracic nerve,"['FMA:65870', 'ILX:0791366']"
FMA:65899,Branch from left C7 root to long thoracic nerve,"['FMA:65899', 'ILX:0791095']"
FMA:65849,Branch from right C5 root to long thoracic nerve,"['FMA:65849', 'ILX:0786720']"
FMA:65869,Branch from right C6 root to long thoracic nerve,"['FMA:65869', 'ILX:0789227']"
FMA:65898,Branch from right C7 root to long thoracic nerve,"['FMA:65898', 'ILX:0792451']"
FMA:53675,Branch of greater anterior gastric nerve to coeliac nerve plexus,
FMA:53675,Branch of right vagus nerve to oesophageal nerve plexus,
FMA:53312,Buccal branch of left facial nerve,
FMA:53311,Buccal branch of right facial nerve,
FMA:53399,Cervical branch of left facial nerve,"['FMA:53399', 'ILX:0785396']"
FMA:53398,Cervical branch of right facial nerve,"['FMA:53398', 'ILX:0789750']"
FMA:6667,Coeliac branch of posterior vagal trunk,
FMA:53588,,"['FMA:53588', 'ILX:0787673']"
FMA:53590,,
FMA:53589,,
FMA:53562,Communicating branch of left external laryngeal nerve with left superior cardiac nerve,"['FMA:53562', 'ILX:0787107']"
FMA:53485,Communicating branch of left glossopharyngeal nerve with auricular branch of left vagus nerve,"['FMA:53485', 'ILX:0788944']"
FMA:53572,Communicating branch of left internal laryngeal nerve with left recurrent laryngeal nerve,"['FMA:53572', 'ILX:0789900']"
FMA:53560,Communicating branch of left vagus nerve with left glossopharyngeal nerve,
FMA:53561,Communicating branch of right external laryngeal nerve with right superior cardiac nerve,"['FMA:53561', 'ILX:0787405']"
FMA:53484,Communicating branch of right glossopharyngeal nerve with auricular branch of right vagus nerve,"['FMA:53484', 'ILX:0789837']"
FMA:53571,Communicating branch of right internal laryngeal nerve with right recurrent laryngeal nerve,"['FMA:53571', 'ILX:0791006']"
FMA:53559,Communicating branch of right vagus nerve with right glossopharyngeal nerve,
FMA:45334,Cutaneous branch of left obturator nerve,
FMA:45333,Cutaneous branch of right obturator nerve,
FMA:292832,Dorsal branch of left ulnar nerve,
FMA:292830,Dorsal branch of right ulnar nerve,
FMA:52733,Ganglionic branch of left maxillary nerve to pterygopalatine ganglion,
FMA:52732,Ganglionic branch of right maxillary nerve to pterygopalatine ganglion,
FMA:45355,Gluteal branch A of left posterior femoral cutaneous nerve,
FMA:45354,Gluteal branch A of right posterior femoral cutaneous nerve,
FMA:6684,Greater anterior gastric nerve,"['FMA:6684', 'ILX:0793831']"
FMA:6689,Greater posterior gastric nerve,"['FMA:6689', 'ILX:0788809']"
FMA:6666,Hepatic branch of anterior vagal trunk,"['FMA:6666', 'ILX:0784595']"
FMA:6714,Inferior cervical cardiac branch of left vagus nerve,"['FMA:6714', 'ILX:0786047']"
FMA:6713,Inferior cervical cardiac branch of right vagus nerve,"['FMA:6713', 'ILX:0789456']"
FMA:53582,Inferior ramus of left internal laryngeal nerve,"['FMA:53582', 'ILX:0785467']"
FMA:53581,,"['FMA:53581', 'ILX:0789165']"
FMA:45327,Infrapatellar branch of left saphenous nerve,
FMA:45326,Infrapatellar branch of right saphenous nerve,
FMA:11214,Lateral cutaneous branch of left eighth intercostal nerve,"['FMA:11214', 'ILX:0784704']"
FMA:11220,Lateral cutaneous branch of left eleventh intercostal nerve,"['FMA:11220', 'ILX:0788296']"
FMA:11193,Lateral cutaneous branch of left fifth intercostal nerve,"['FMA:11193', 'ILX:0791624']"
FMA:11111,Lateral cutaneous branch of left fourth intercostal nerve,"['FMA:11111', 'ILX:0784609']"
FMA:20608,Lateral cutaneous branch of left iliohypogastric nerve,
FMA:11216,Lateral cutaneous branch of left ninth intercostal nerve,"['FMA:11216', 'ILX:0792090']"
FMA:11212,Lateral cutaneous branch of left seventh intercostal nerve,"['FMA:11212', 'ILX:0787958']"
FMA:11210,Lateral cutaneous branch of left sixth intercostal nerve,"['FMA:11210', 'ILX:0788966']"
FMA:8919,Lateral cutaneous branch of left subcostal nerve,
FMA:11218,Lateral cutaneous branch of left tenth intercostal nerve,"['FMA:11218', 'ILX:0788982']"
FMA:6111,Lateral cutaneous branch of left third intercostal nerve,"['FMA:6111', 'ILX:0791002']"
FMA:11213,Lateral cutaneous branch of right eighth intercostal nerve,"['FMA:11213', 'ILX:0791344']"
FMA:11219,Lateral cutaneous branch of right eleventh intercostal nerve,"['FMA:11219', 'ILX:0792325']"
FMA:11194,Lateral cutaneous branch of right fifth intercostal nerve,"['FMA:11194', 'ILX:0786198']"
FMA:11084,Lateral cutaneous branch of right fourth intercostal nerve,"['FMA:11084', 'ILX:0789581']"
FMA:20607,Lateral cutaneous branch of right iliohypogastric nerve,
FMA:11215,Lateral cutaneous branch of right ninth intercostal nerve,"['FMA:11215', 'ILX:0787811']"
FMA:11211,Lateral cutaneous branch of right seventh intercostal nerve,"['FMA:11211', 'ILX:0784520']"
FMA:11209,Lateral cutaneous branch of right sixth intercostal nerve,"['FMA:11209', 'ILX:0791592']"
FMA:8918,Lateral cutaneous branch of right subcostal nerve,
FMA:11217,Lateral cutaneous branch of right tenth intercostal nerve,"['FMA:11217', 'ILX:0790044']"
FMA:6108,Lateral cutaneous branch of right third intercostal nerve,"['FMA:6108', 'ILX:0786857']"
FMA:305345,Lateral root of left median nerve,
FMA:305343,Lateral root of right median nerve,
FMA:55148,Left C1 spinal nerve branch to left ansa cervicalis,
FMA:55150,Left C2 spinal nerve branch to left ansa cervicalis,
FMA:65399,Left C2 spinal nerve branch to left great auricular nerve,
FMA:6832,Left C2 spinal nerve posterior ramus,"['FMA:6832', 'ILX:0792398']"
FMA:6835,Left C2 spinal nerve posterior ramus medial branch,"['FMA:6835', 'ILX:0784626']"
FMA:65402,Left C3 spinal nerve branch to left great auricular nerve,
FMA:65438,Left C3 spinal nerve branch to left supraclavicular nerve,
FMA:6849,Left C3 spinal nerve posterior ramus,"['FMA:6849', 'ILX:0791211']"
FMA:6851,Left C3 spinal nerve posterior ramus medial branch,"['FMA:6851', 'ILX:0786642']"
FMA:8791,Left C4 spinal nerve posterior ramus,"['FMA:8791', 'ILX:0786456']"
FMA:65740,Left C4 spinal nerve posterior ramus medial branch,"['FMA:65740', 'ILX:0791423']"
FMA:8795,Left C5 spinal nerve posterior ramus,"['FMA:8795', 'ILX:0786130']"
FMA:65744,Left C5 spinal nerve posterior ramus medial branch,"['FMA:65744', 'ILX:0791009']"
FMA:8798,Left C6 spinal nerve posterior ramus,"['FMA:8798', 'ILX:0784736']"
FMA:11262,Left C6 spinal nerve posterior ramus medial branch,"['FMA:11262', 'ILX:0786423']"
FMA:65924,Left L1 grey ramus communicans,
FMA:6411,Left L1 spinal nerve,"['FMA:6411', 'ILX:0785490']"
